rho_usd_per_decision,c_fixed_usd_per_year,n_star_decisions_per_year
0.03163265306122449,32000.0,1011612.9032258065
0.03163265306122449,33000.0,1043225.806451613
0.03163265306122449,34000.0,1074838.7096774194
0.03163265306122449,35000.0,1106451.612903226
0.03163265306122449,36000.0,1138064.5161290322
0.03163265306122449,37000.0,1169677.4193548388
0.03163265306122449,38000.0,1201290.3225806453
0.03163265306122449,39000.0,1232903.2258064516
0.03163265306122449,40000.0,1264516.1290322582
0.03163265306122449,41000.0,1296129.0322580647
0.03163265306122449,42000.0,1327741.935483871
0.03163265306122449,43000.0,1359354.8387096776
0.03163265306122449,44000.0,1390967.7419354839
0.03163265306122449,45000.0,1422580.6451612904
0.03163265306122449,46000.0,1454193.548387097
0.03163265306122449,47000.0,1485806.4516129033
0.03163265306122449,48000.0,1517419.3548387098
0.03163265306122449,49000.0,1549032.2580645164
0.03163265306122449,50000.0,1580645.1612903227
0.03255102040816327,1000.0,30721.003134796236
0.03255102040816327,2000.0,61442.00626959247
0.03255102040816327,3000.0,92163.00940438871
0.03255102040816327,4000.0,122884.01253918494
0.03255102040816327,5000.0,153605.0156739812
0.03255102040816327,6000.0,184326.01880877741
0.03255102040816327,7000.0,215047.02194357367
0.03255102040816327,8000.0,245768.0250783699
0.03255102040816327,9000.0,276489.0282131661
0.03255102040816327,10000.0,307210.0313479624
0.03255102040816327,11000.0,337931.0344827586
0.03255102040816327,12000.0,368652.03761755483
0.03255102040816327,13000.0,399373.04075235105
0.03255102040816327,14000.0,430094.04388714733
0.03255102040816327,15000.0,460815.04702194355
0.03255102040816327,16000.0,491536.0501567398
0.03255102040816327,17000.0,522257.053291536
0.03255102040816327,18000.0,552978.0564263322
0.03255102040816327,19000.0,583699.0595611285
0.03255102040816327,20000.0,614420.0626959248
0.03255102040816327,21000.0,645141.0658307209
0.03255102040816327,22000.0,675862.0689655172
0.03255102040816327,23000.0,706583.0721003135
0.03255102040816327,24000.0,737304.0752351097
0.03255102040816327,25000.0,768025.0783699059
0.03255102040816327,26000.0,798746.0815047021
0.03255102040816327,27000.0,829467.0846394984
0.03255102040816327,28000.0,860188.0877742947
0.03255102040816327,29000.0,890909.0909090908
0.03255102040816327,30000.0,921630.0940438871
0.03255102040816327,31000.0,952351.0971786834
0.03255102040816327,32000.0,983072.1003134795
0.03255102040816327,33000.0,1013793.1034482758
0.03255102040816327,34000.0,1044514.106583072
0.03255102040816327,35000.0,1075235.1097178683
0.03255102040816327,36000.0,1105956.1128526644
0.03255102040816327,37000.0,1136677.1159874608
0.03255102040816327,38000.0,1167398.119122257
0.03255102040816327,39000.0,1198119.1222570532
0.03255102040816327,40000.0,1228840.1253918495
0.03255102040816327,41000.0,1259561.1285266457
0.03255102040816327,42000.0,1290282.1316614419
0.03255102040816327,43000.0,1321003.1347962383
0.03255102040816327,44000.0,1351724.1379310344
0.03255102040816327,45000.0,1382445.1410658306
0.03255102040816327,46000.0,1413166.144200627
0.03255102040816327,47000.0,1443887.1473354232
0.03255102040816327,48000.0,1474608.1504702193
0.03255102040816327,49000.0,1505329.1536050155
0.03255102040816327,50000.0,1536050.1567398119
0.03346938775510204,1000.0,29878.048780487807
0.03346938775510204,2000.0,59756.09756097561
0.03346938775510204,3000.0,89634.14634146342
0.03346938775510204,4000.0,119512.19512195123
0.03346938775510204,5000.0,149390.24390243902
0.03346938775510204,6000.0,179268.29268292684
0.03346938775510204,7000.0,209146.34146341463
0.03346938775510204,8000.0,239024.39024390245
0.03346938775510204,9000.0,268902.43902439025
0.03346938775510204,10000.0,298780.48780487804
0.03346938775510204,11000.0,328658.5365853659
0.03346938775510204,12000.0,358536.5853658537
0.03346938775510204,13000.0,388414.6341463415
0.03346938775510204,14000.0,418292.68292682926
0.03346938775510204,15000.0,448170.7317073171
0.03346938775510204,16000.0,478048.7804878049
0.03346938775510204,17000.0,507926.8292682927
0.03346938775510204,18000.0,537804.8780487805
0.03346938775510204,19000.0,567682.9268292683
0.03346938775510204,20000.0,597560.9756097561
0.03346938775510204,21000.0,627439.0243902439
0.03346938775510204,22000.0,657317.0731707318
0.03346938775510204,23000.0,687195.1219512195
0.03346938775510204,24000.0,717073.1707317074
0.03346938775510204,25000.0,746951.2195121951
0.03346938775510204,26000.0,776829.268292683
0.03346938775510204,27000.0,806707.3170731708
0.03346938775510204,28000.0,836585.3658536585
0.03346938775510204,29000.0,866463.4146341464
0.03346938775510204,30000.0,896341.4634146342
0.03346938775510204,31000.0,926219.512195122
0.03346938775510204,32000.0,956097.5609756098
0.03346938775510204,33000.0,985975.6097560975
0.03346938775510204,34000.0,1015853.6585365854
0.03346938775510204,35000.0,1045731.7073170732
0.03346938775510204,36000.0,1075609.756097561
0.03346938775510204,37000.0,1105487.8048780488
0.03346938775510204,38000.0,1135365.8536585367
0.03346938775510204,39000.0,1165243.9024390245
0.03346938775510204,40000.0,1195121.9512195121
0.03346938775510204,41000.0,1225000.0
0.03346938775510204,42000.0,1254878.0487804879
0.03346938775510204,43000.0,1284756.0975609757
0.03346938775510204,44000.0,1314634.1463414636
0.03346938775510204,45000.0,1344512.1951219512
0.03346938775510204,46000.0,1374390.243902439
0.03346938775510204,47000.0,1404268.2926829269
0.03346938775510204,48000.0,1434146.3414634147
0.03346938775510204,49000.0,1464024.3902439026
0.03346938775510204,50000.0,1493902.4390243902
0.03438775510204082,1000.0,29080.118694362016
0.03438775510204082,2000.0,58160.23738872403
0.03438775510204082,3000.0,87240.35608308605
0.03438775510204082,4000.0,116320.47477744806
0.03438775510204082,5000.0,145400.59347181008
0.03438775510204082,6000.0,174480.7121661721
0.03438775510204082,7000.0,203560.8308605341
0.03438775510204082,8000.0,232640.94955489613
0.03438775510204082,9000.0,261721.06824925813
0.03438775510204082,10000.0,290801.18694362015
0.03438775510204082,11000.0,319881.30563798215
0.03438775510204082,12000.0,348961.4243323442
0.03438775510204082,13000.0,378041.5430267062
0.03438775510204082,14000.0,407121.6617210682
0.03438775510204082,15000.0,436201.78041543026
0.03438775510204082,16000.0,465281.89910979226
0.03438775510204082,17000.0,494362.01780415425
0.03438775510204082,18000.0,523442.13649851625
0.03438775510204082,19000.0,552522.2551928783
0.03438775510204082,20000.0,581602.3738872403
0.03438775510204082,21000.0,610682.4925816023
0.03438775510204082,22000.0,639762.6112759643
0.03438775510204082,23000.0,668842.7299703263
0.03438775510204082,24000.0,697922.8486646884
0.03438775510204082,25000.0,727002.9673590504
0.03438775510204082,26000.0,756083.0860534124
0.03438775510204082,27000.0,785163.2047477744
0.03438775510204082,28000.0,814243.3234421364
0.03438775510204082,29000.0,843323.4421364984
0.03438775510204082,30000.0,872403.5608308605
0.03438775510204082,31000.0,901483.6795252225
0.03438775510204082,32000.0,930563.7982195845
0.03438775510204082,33000.0,959643.9169139465
0.03438775510204082,34000.0,988724.0356083085
0.03438775510204082,35000.0,1017804.1543026705
0.03438775510204082,36000.0,1046884.2729970325
0.03438775510204082,37000.0,1075964.3916913946
0.03438775510204082,38000.0,1105044.5103857566
0.03438775510204082,39000.0,1134124.6290801186
0.03438775510204082,40000.0,1163204.7477744806
0.03438775510204082,41000.0,1192284.8664688426
0.03438775510204082,42000.0,1221364.9851632046
0.03438775510204082,43000.0,1250445.1038575666
0.03438775510204082,44000.0,1279525.2225519286
